2026-06-18 14:41:21 | INFO     | app.main:<module>:15 - Initializing FastAPI application
2026-06-18 14:41:21 | INFO     | app.main:<module>:20 - Session middleware configured
2026-06-18 14:41:21 | INFO     | app.main:<module>:30 - CORS middleware configured
2026-06-18 14:41:21 | INFO     | app.main:<module>:34 - Authentication routes registered
2026-06-18 14:41:21 | INFO     | app.main:<module>:37 - Admin routes registered
2026-06-18 14:41:21 | INFO     | app.main:<module>:40 - Adopter routes registered
2026-06-18 14:41:21 | INFO     | app.main:<module>:43 - Backblaze routes registered
2026-06-18 14:41:21 | INFO     | app.main:<module>:46 - Pet routes registered
2026-06-18 14:41:21 | INFO     | app.main:<module>:48 - FastAPI application initialized successfully
2026-06-18 14:41:21 | INFO     | app.routes.admin_routes:admin_dashboard:24 - GET /admin/dashboard - Request from user: admin@test.com
2026-06-18 14:41:21 | INFO     | app.routes.admin_routes:admin_dashboard:37 - Admin dashboard accessed successfully by user: admin@test.com
2026-06-18 14:41:21 | INFO     | app.routes.admin_routes:admin_dashboard:24 - GET /admin/dashboard - Request from user: regular@test.com
2026-06-18 14:41:21 | WARNING  | app.routes.admin_routes:admin_dashboard:28 - Access denied for user: regular@test.com - role: adopter
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:78 - Token verification failed - No credentials provided
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:107 - Token verification failed - JWT error: Not enough segments
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:87 - Token verification failed - Token is blacklisted
2026-06-18 14:41:21 | INFO     | app.routes.adopter_routes:adopter_home:24 - GET /adopter/home - Request from user: adopter@test.com
2026-06-18 14:41:21 | INFO     | app.routes.adopter_routes:adopter_home:37 - Adopter home accessed successfully by user: adopter@test.com
2026-06-18 14:41:21 | INFO     | app.routes.adopter_routes:adopter_home:24 - GET /adopter/home - Request from user: admin.unauth@test.com
2026-06-18 14:41:21 | WARNING  | app.routes.adopter_routes:adopter_home:28 - Access denied for user: admin.unauth@test.com - role: admin
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:78 - Token verification failed - No credentials provided
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:107 - Token verification failed - JWT error: Not enough segments
2026-06-18 14:41:21 | WARNING  | app.utils.jwt.jwt_utils:verify_token:87 - Token verification failed - Token is blacklisted
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:35 - Validating name: John
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:41 - Name validation passed for: John
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:35 - Validating name: Doe
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:41 - Name validation passed for: Doe
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_phone_number:48 - Validating phone number: 0912345678
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_phone_number:59 - Phone number validation passed for: 0912345678
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_password:66 - Validating password complexity
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_password:76 - Password validation passed
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_role:83 - Validating role: adopter
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_role:87 - Role validation passed for: adopter
2026-06-18 14:41:21 | INFO     | app.routes.auth_routes:register:61 - POST /auth/register - Registration request for email: john.doe@test.com
2026-06-18 14:41:21 | INFO     | app.services.auth_service:register_user:26 - Registration attempt for email: john.doe@test.com
2026-06-18 14:41:21 | INFO     | app.services.auth_service:register_user:74 - Creating adopter user with email: john.doe@test.com
2026-06-18 14:41:21 | INFO     | app.services.auth_service:register_user:110 - Registration successful for user ID: 7, email: john.doe@test.com
2026-06-18 14:41:21 | INFO     | app.routes.auth_routes:register:81 - Registration successful - Adopter user ID: 7
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:35 - Validating name: John
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:41 - Name validation passed for: John
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:35 - Validating name: Doe
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_name:41 - Name validation passed for: Doe
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_phone_number:48 - Validating phone number: 0912345678
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_phone_number:59 - Phone number validation passed for: 0912345678
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_password:66 - Validating password complexity
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_password:76 - Password validation passed
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_role:83 - Validating role: adopter
2026-06-18 14:41:21 | INFO     | app.schemas.auth_schemas:validate_role:87 - Role validation passed for: adopter
